path	line	string	context
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	308	Add to Multiview	text = "Add to Multiview",
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	316	Play (${selected.size})	text = "Play (${selected.size})",
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	388	Close search	contentDescription = if (searchActive) "Close search" else "Sender suchen",
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	403	Clear search	Icon(Icons.Filled.Close, contentDescription = "Clear search")
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	500	Movie · $it	subtitle = item.year?.let { "Movie · $it" } ?: "Movie",
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	500	Movie	subtitle = item.year?.let { "Movie · $it" } ?: "Movie",
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	590	Episode $e	title = ep.displayName.ifBlank { "Episode $e" },
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	744	Don't Show Again	) { Text("Don't Show Again") }
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	822	Tile 1 · Now playing · $nowTitle	text = if (nowTitle.isNotBlank()) "Tile 1 · Now playing · $nowTitle"
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	922	Selected	contentDescription = "Selected",
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	1032	Open	contentDescription = "Open",
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	1037	Selected	contentDescription = "Selected",
app/src/main/java/com/aeriotv/android/feature/multiview/AddToMultiviewSheet.kt	1072	All Series	text = "All Series",
app/src/main/java/com/aeriotv/android/feature/main/AppTab.kt	47	Live-TV	label = "Live-TV",
app/src/main/java/com/aeriotv/android/feature/main/MainScaffold.kt	1531	Control a TV	contentDescription = "Control a TV",
app/src/main/java/com/aeriotv/android/feature/main/MainScaffold.kt	1698	Show tab bar, ${tab.label}	contentDescription = "Show tab bar, ${tab.label}",
app/src/main/java/com/aeriotv/android/feature/main/MainScaffold.kt	2083	Refresh channels and guide	contentDescription = "Refresh channels and guide",
app/src/main/java/com/aeriotv/android/feature/main/MainScaffold.kt	2090	$retainedCount channels kept live	contentDescription = "$retainedCount channels kept live",
app/src/main/java/com/aeriotv/android/feature/settings/AddMoreCategoriesScreen.kt	92	Add More Categories	text = "Add More Categories",
app/src/main/java/com/aeriotv/android/feature/settings/AddMoreCategoriesScreen.kt	140	Toggle a bucket on to colour matching programmes. Select the swatch to override its hex.	text = "Toggle a bucket on to colour matching programmes. Select the swatch to override its hex.",
app/src/main/java/com/aeriotv/android/feature/settings/AddMoreCategoriesScreen.kt	166	Match an XMLTV category substring and pick its colour. Useful for genres outside the built-in buckets (e.g. Horror, Anime).	text = "Match an XMLTV category substring and pick its colour. Useful for genres outside the built-in buckets (e.g. Horror, Anime).",
app/src/main/java/com/aeriotv/android/feature/settings/AddMoreCategoriesScreen.kt	180	Add custom category	contentDescription = "Add custom category",
app/src/main/java/com/aeriotv/android/feature/settings/AddMoreCategoriesScreen.kt	189	No custom categories yet. Select + above to add one.	text = "No custom categories yet. Select + above to add one.",
app/src/main/java/com/aeriotv/android/feature/settings/AddMoreCategoriesScreen.kt	376	Add Custom Category	title = { Text(if (initial == null) "Add Custom Category" else "Edit Custom Category") },
app/src/main/java/com/aeriotv/android/feature/settings/AddMoreCategoriesScreen.kt	408	Hex color	label = { Text("Hex color") },
app/src/main/java/com/aeriotv/android/feature/settings/RemoteControlSettingsScreen.kt	246	Show remote hints	title = "Show remote hints",
app/src/main/java/com/aeriotv/android/feature/settings/RemoteControlSettingsScreen.kt	247	Key reminders on Live TV and in the player	subtitle = "Key reminders on Live TV and in the player",
app/src/main/java/com/aeriotv/android/feature/settings/RemoteControlSettingsScreen.kt	326	Play Channels In	title = "Play Channels In",
app/src/main/java/com/aeriotv/android/feature/settings/RemoteControlSettingsScreen.kt	370	$name  (current)	label = if (current) "$name  (current)" else name,
